Country Name,Country Code,Population
Aruba,ABW,106314.00
Afghanistan,AFG,38041754.00
Angola,AGO,31825295.00
Albania,ALB,2854191.00
Andorra,AND,77142.00
Arab World,ARB,427870270.00
United Arab Emirates,ARE,9770529.00
Argentina,ARG,44938712.00
Armenia,ARM,2957731.00
American Samoa,ASM,55312.00
Antigua and Barbuda,ATG,97118.00
Australia,AUS,25364307.00
Austria,AUT,8877067.00
Azerbaijan,AZE,10023318.00
Burundi,BDI,11530580.00
Belgium,BEL,11484055.00
Benin,BEN,11801151.00
Burkina Faso,BFA,20321378.00
Bangladesh,BGD,163046161.00
Bulgaria,BGR,6975761.00
Bahrain,BHR,1641172.00
"Bahamas, The",BHS,389482.00
Bosnia and Herzegovina,BIH,3301000.00
Belarus,BLR,9466856.00
Belize,BLZ,390353.00
Bermuda,BMU,63918.00
Bolivia,BOL,11513100.00
Brazil,BRA,211049527.00
Barbados,BRB,287025.00
Brunei Darussalam,BRN,433285.00
Bhutan,BTN,763092.00
Botswana,BWA,2303697.00
Central African Republic,CAF,4745185.00
Canada,CAN,37589262.00
Central Europe and the Baltics,CEB,102378579.00
Switzerland,CHE,8574832.00
Channel Islands,CHI,172259.00
Chile,CHL,18952038.00
China,CHN,1397715000.00
Cote d'Ivoire,CIV,25716544.00
Cameroon,CMR,25876380.00
"Congo, Dem. Rep.",COD,86790567.00
"Congo, Rep.",COG,5380508.00
Colombia,COL,50339443.00
Comoros,COM,850886.00
Cabo Verde,CPV,549935.00
Costa Rica,CRI,5047561.00
Caribbean small states,CSS,7401381.00
Cuba,CUB,11333483.00
Curacao,CUW,157538.00
Cayman Islands,CYM,64948.00
Cyprus,CYP,1198575.00
Czech Republic,CZE,10669709.00
Germany,DEU,83132799.00
Djibouti,DJI,973560.00
Dominica,DMA,71808.00
Denmark,DNK,5818553.00
Dominican Republic,DOM,10738958.00
Algeria,DZA,43053054.00
East Asia & Pacific (excluding high income),EAP,2093675040.00
Early-demographic dividend,EAR,3290290622.00
East Asia & Pacific,EAS,2340628292.00
Europe & Central Asia (excluding high income),ECA,399404587.00
Europe & Central Asia,ECS,921140092.00
Ecuador,ECU,17373662.00
"Egypt, Arab Rep.",EGY,100388073.00
Euro area,EMU,342597698.00
Eritrea,ERI,
Spain,ESP,47076781.00
Estonia,EST,1326590.00
Ethiopia,ETH,112078730.00
European Union,EUU,447512041.00
Fragile and conflict affected situations,FCS,798138587.00
Finland,FIN,5520314.00
Fiji,FJI,889953.00
France,FRA,67059887.00
Faroe Islands,FRO,48678.00
"Micronesia, Fed. Sts.",FSM,113815.00
Gabon,GAB,2172579.00
United Kingdom,GBR,66834405.00
Georgia,GEO,3720382.00
Ghana,GHA,30417856.00
Gibraltar,GIB,33701.00
Guinea,GIN,12771246.00
"Gambia, The",GMB,2347706.00
Guinea-Bissau,GNB,1920922.00
Equatorial Guinea,GNQ,1355986.00
Greece,GRC,10716322.00
Grenada,GRD,112003.00
Greenland,GRL,56225.00
Guatemala,GTM,16604026.00
Guam,GUM,167294.00
Guyana,GUY,782766.00
High income,HIC,1235852827.00
"Hong Kong SAR, China",HKG,7507400.00
Honduras,HND,9746117.00
Heavily indebted poor countries (HIPC),HPC,801708035.00
Croatia,HRV,4067500.00
Haiti,HTI,11263077.00
Hungary,HUN,9769949.00
IBRD only,IBD,4816235951.00
IDA & IBRD total,IBT,6486934851.00
IDA total,IDA,1670698900.00
IDA blend,IDB,561572202.00
Indonesia,IDN,270625568.00
IDA only,IDX,1109126698.00
Isle of Man,IMN,84584.00
India,IND,1366417754.00
Not classified,INX,
Ireland,IRL,4941444.00
"Iran, Islamic Rep.",IRN,82913906.00
Iraq,IRQ,39309783.00
Iceland,ISL,361313.00
Israel,ISR,9053300.00
Italy,ITA,60297396.00
Jamaica,JAM,2948279.00
Jordan,JOR,10101694.00
Japan,JPN,126264931.00
Kazakhstan,KAZ,18513930.00
Kenya,KEN,52573973.00
Kyrgyz Republic,KGZ,6456900.00
Cambodia,KHM,16486542.00
Kiribati,KIR,117606.00
St. Kitts and Nevis,KNA,52823.00
"Korea, Rep.",KOR,51709098.00
Kuwait,KWT,4207083.00
Latin America & Caribbean (excluding high income),LAC,613773128.00
Lao PDR,LAO,7169455.00
Lebanon,LBN,6855713.00
Liberia,LBR,4937374.00
Libya,LBY,6777452.00
St. Lucia,LCA,182790.00
Latin America & Caribbean,LCN,646430841.00
Least developed countries: UN classification,LDC,1033388876.00
Low income,LIC,668454965.00
Liechtenstein,LIE,38019.00
Sri Lanka,LKA,21803000.00
Lower middle income,LMC,2913363391.00
Low & middle income,LMY,6437681145.00
Lesotho,LSO,2125268.00
Late-demographic dividend,LTE,2298470832.00
Lithuania,LTU,2786844.00
Luxembourg,LUX,619896.00
Latvia,LVA,1912789.00
"Macao SAR, China",MAC,640445.00
St. Martin (French part),MAF,38002.00
Morocco,MAR,36471769.00
Monaco,MCO,38964.00
Moldova,MDA,2657637.00
Madagascar,MDG,26969307.00
Maldives,MDV,530953.00
Middle East & North Africa,MEA,456707404.00
Mexico,MEX,127575529.00
Marshall Islands,MHL,58791.00
Middle income,MIC,5769226180.00
North Macedonia,MKD,2083459.00
Mali,MLI,19658031.00
Malta,MLT,502653.00
Myanmar,MMR,54045420.00
Middle East & North Africa (excluding high income),MNA,389457086.00
Montenegro,MNE,622137.00
Mongolia,MNG,3225167.00
Northern Mariana Islands,MNP,57216.00
Mozambique,MOZ,30366036.00
Mauritania,MRT,4525696.00
Mauritius,MUS,1265711.00
Malawi,MWI,18628747.00
Malaysia,MYS,31949777.00
North America,NAC,365892703.00
Namibia,NAM,2494530.00
New Caledonia,NCL,287800.00
Niger,NER,23310715.00
Nigeria,NGA,200963599.00
Nicaragua,NIC,6545502.00
Netherlands,NLD,17332850.00
Norway,NOR,5347896.00
Nepal,NPL,28608710.00
Nauru,NRU,12581.00
New Zealand,NZL,4917000.00
OECD members,OED,1359963500.00
Oman,OMN,4974986.00
Other small states,OSS,31360407.00
Pakistan,PAK,216565318.00
Panama,PAN,4246439.00
Peru,PER,32510453.00
Philippines,PHL,108116615.00
Palau,PLW,18008.00
Papua New Guinea,PNG,8776109.00
Poland,POL,37970874.00
Pre-demographic dividend,PRE,944902749.00
Puerto Rico,PRI,3193694.00
"Korea, Dem. People?s Rep.",PRK,25666161.00
Portugal,PRT,10269417.00
Paraguay,PRY,7044636.00
West Bank and Gaza,PSE,4685306.00
Pacific island small states,PSS,2493696.00
Post-demographic dividend,PST,1112914457.00
French Polynesia,PYF,279287.00
Qatar,QAT,2832067.00
Romania,ROU,19356544.00
Russian Federation,RUS,144373535.00
Rwanda,RWA,12626950.00
South Asia,SAS,1835776742.00
Saudi Arabia,SAU,34268528.00
Sudan,SDN,42813238.00
Senegal,SEN,16296364.00
Singapore,SGP,5703569.00
Solomon Islands,SLB,669823.00
Sierra Leone,SLE,7813215.00
El Salvador,SLV,6453553.00
San Marino,SMR,33860.00
Somalia,SOM,15442905.00
Serbia,SRB,6944975.00
Sub-Saharan Africa (excluding high income),SSA,1105594562.00
South Sudan,SSD,11062113.00
Sub-Saharan Africa,SSF,1106957898.00
Small states,SST,41255484.00
Sao Tome and Principe,STP,215056.00
Suriname,SUR,581372.00
Slovak Republic,SVK,5454073.00
Slovenia,SVN,2087946.00
Sweden,SWE,10285453.00
Eswatini,SWZ,1148130.00
Sint Maarten (Dutch part),SXM,40733.00
Seychelles,SYC,97625.00
Syrian Arab Republic,SYR,17070135.00
Turks and Caicos Islands,TCA,38191.00
Chad,TCD,15946876.00
East Asia & Pacific (IDA & IBRD countries),TEA,2067984156.00
Europe & Central Asia (IDA & IBRD countries),TEC,460799505.00
Togo,TGO,8082366.00
Thailand,THA,69625582.00
Tajikistan,TJK,9321018.00
Turkmenistan,TKM,5942089.00
Latin America & the Caribbean (IDA & IBRD countries),TLA,630644770.00
Timor-Leste,TLS,1293119.00
Middle East & North Africa (IDA & IBRD countries),TMN,384771780.00
Tonga,TON,104494.00
South Asia (IDA & IBRD),TSA,1835776742.00
Sub-Saharan Africa (IDA & IBRD countries),TSS,1106957898.00
Trinidad and Tobago,TTO,1394973.00
Tunisia,TUN,11694719.00
Turkey,TUR,83429615.00
Tuvalu,TUV,11646.00
Tanzania,TZA,58005463.00
Uganda,UGA,44269594.00
Ukraine,UKR,44385155.00
Upper middle income,UMC,2855862789.00
Uruguay,URY,3461734.00
United States,USA,328239523.00
Uzbekistan,UZB,33580650.00
St. Vincent and the Grenadines,VCT,110589.00
