Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,5430000000.00,5032000000.00,4987000000.00,5293000000.00,5317000000.00,5343000000.00,5319000000.00,5259000000.00,5285000000.00,5377000000.00,,,
Afghanistan,AFG,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,765094000000.00,805200000000.00,962267000000.00,1070860000000.00,1192090000000.00,1286450000000.00,1333480000000.00,1424590000000.00,1483140000000.00,1540820000000.00,1573900000000.00,1626280000000.00,
Angola,AGO,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,5076500000000.00,5852390000000.00,6241220000000.00,8258210000000.00,9770160000000.00,11257700000000.00,12883300000000.00,14421700000000.00,16073100000000.00,19096900000000.00,21708100000000.00,,
Albania,ALB,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,1396790000000.00,1447420000000.00,1482310000000.00,1569690000000.00,1561260000000.00,1608010000000.00,1645260000000.00,1687100000000.00,1729490000000.00,1801860000000.00,,,
Andorra,AND,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,
Arab World,ARB,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,
United Arab Emirates,ARE,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,1051730000000.00,876730000000.00,844932000000.00,920957000000.00,877086000000.00,919493000000.00,1027050000000.00,966451000000.00,980048000000.00,1073640000000.00,1141730000000.00,1175810000000.00,
Argentina,ARG,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,1106890000000.00,1184720000000.00,1613590000000.00,2142150000000.00,2586500000000.00,3351640000000.00,4560580000000.00,6018520000000.00,8313710000000.00,10936200000000.00,14918300000000.00,21176900000000.00,
Armenia,ARM,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,4732570000000.00,4334730000000.00,4744470000000.00,4980740000000.00,5264900000000.00,5529140000000.00,5722160000000.00,5644950000000.00,5511490000000.00,6212100000000.00,6958820000000.00,7514160000000.00,
American Samoa,ASM,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,
Australia,AUS,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,1207300000000.00,1257480000000.00,1314610000000.00,1402930000000.00,1503190000000.00,1556220000000.00,1605370000000.00,1649370000000.00,1698500000000.00,1752760000000.00,1842160000000.00,1902830000000.00,
Austria,AUT,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,280733000000.00,279233000000.00,285843000000.00,302117000000.00,310042000000.00,315172000000.00,322255000000.00,331359000000.00,343591000000.00,357240000000.00,371036000000.00,383721000000.00,
Azerbaijan,AZE,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,24332900000.00,25928100000.00,29005100000.00,35235600000.00,39587200000.00,45291300000.00,49473600000.00,52755100000.00,58746500000.00,65629900000.00,67867200000.00,71621700000.00,
Burundi,BDI,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,2411860000000.00,2686790000000.00,3003760000000.00,3535700000000.00,4183700000000.00,4895250000000.00,5256360000000.00,5368420000000.00,5397970000000.00,6043840000000.00,6239020000000.00,6528850000000.00,
Belgium,BEL,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,349377000000.00,338636000000.00,356958000000.00,376340000000.00,385932000000.00,389745000000.00,399704000000.00,410793000000.00,425095000000.00,439736000000.00,460282000000.00,472304000000.00,
Benin,BEN,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,4517850000000.00,4801990000000.00,4967470000000.00,5317260000000.00,5855710000000.00,6433510000000.00,6717190000000.00,7225350000000.00,7269560000000.00,7896400000000.00,8489750000000.00,8804980000000.00,
Burkina Faso,BFA,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,4874730000000.00,5033870000000.00,5419040000000.00,6004630000000.00,6946620000000.00,7322730000000.00,7240850000000.00,7435760000000.00,7908120000000.00,8722630000000.00,9362060000000.00,9661230000000.00,
Bangladesh,BGD,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,6727710000000.00,7464850000000.00,8408980000000.00,9780950000000.00,11294800000000.00,12751000000000.00,14308500000000.00,16177900000000.00,18138700000000.00,20781900000000.00,24395200000000.00,27157900000000.00,
Bulgaria,BGR,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,87165563000.00,79188338000.00,76537307000.00,80378134000.00,84828256000.00,82284615000.00,84678196000.00,88478605000.00,90382356000.00,97872330000.00,106857000000.00,114605000000.00,
Bahrain,BHR,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,7804190000.00,6988870000.00,7869690000.00,8149410000.00,9433650000.00,10064780000.00,10478170000.00,10357740000.00,11056050000.00,12208050000.00,13063050000.00,,
"Bahamas, The",BHS,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,10725500000.00,10113500000.00,10316400000.00,10766500000.00,11577700000.00,11097400000.00,11986400000.00,11916800000.00,11932100000.00,13048800000.00,13140700000.00,,
Bosnia and Herzegovina,BIH,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,34472278000.00,31855610000.00,31507658000.00,33078161000.00,33711882000.00,33715492000.00,34541202000.00,35003535000.00,36027880000.00,37421750000.00,39033093000.00,41184877000.00,
Belarus,BLR,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,13773900000.00,15512610000.00,19147200000.00,30531390000.00,52961430000.00,69405660000.00,81725500000.00,87063090000.00,91759200000.00,103780000000.00,119105000000.00,131811000000.00,
Belize,BLZ,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,2905287300.00,2815856100.00,2810999200.00,2974748600.00,3049305300.00,3291569700.00,3422772300.00,3656836400.00,3963020500.00,3853150300.00,3925940200.00,3943586100.00,
Bermuda,BMU,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,4969035000.00,4814141000.00,4642658000.00,4528746000.00,4538258000.00,,,,,,,
Bolivia,BOL,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,112310000000.00,118296000000.00,128413000000.00,156751000000.00,169592000000.00,197123000000.00,224990000000.00,242161000000.00,251947000000.00,277059000000.00,292676000000.00,300850000000.00,
Brazil,BRA,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,3115700000000.00,3346480000000.00,3926300000000.00,4410050000000.00,4880200000000.00,5454330000000.00,5932760000000.00,6064930000000.00,6244270000000.00,6536020000000.00,6862890000000.00,7281000000000.00,
