Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,3842000000.00,3412000000.00,3319000000.00,3824000000.00,3740000000.00,4206000000.00,4208000000.00,3875000000.00,3761000000.00,3919000000.00,,,
Afghanistan,AFG,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,,200000000000.00,264326000000.00,344226000000.00,504970000000.00,556893000000.00,473613000000.00,519743000000.00,497337000000.00,542010000000.00,577539000000.00,561511000000.00,
Angola,AGO,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,3247910000000.00,3552140000000.00,3279400000000.00,4128190000000.00,4383860000000.00,4758760000000.00,4961480000000.00,4622280000000.00,4178050000000.00,4711540000000.00,6545770000000.00,,
Albania,ALB,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,563565000000.00,570300000000.00,602021000000.00,676026000000.00,634054000000.00,633950000000.00,658512000000.00,638749000000.00,674866000000.00,722980000000.00,740384000000.00,758882000000.00,
Andorra,AND,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,,,,,,,,,,,,,
Arab World,ARB,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,,,,,,,,,,,,,
United Arab Emirates,ARE,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,806901000000.00,687271000000.00,655948000000.00,793161000000.00,880477000000.00,927341000000.00,1020550000000.00,977900000000.00,993200000000.00,1067900000000.00,1033940000000.00,1059140000000.00,
Argentina,ARG,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,210865000000.00,180902000000.00,266493000000.00,365138000000.00,376923000000.00,492762000000.00,641132000000.00,701476000000.00,1116300000000.00,1488210000000.00,2398260000000.00,3269950000000.00,
Armenia,ARM,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,1437160000000.00,1338450000000.00,1553440000000.00,1772320000000.00,2064970000000.00,2195680000000.00,2271700000000.00,2111530000000.00,2167280000000.00,2754460000000.00,3212090000000.00,3475670000000.00,
American Samoa,ASM,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,754000000.00,556000000.00,537000000.00,559000000.00,643000000.00,641000000.00,679000000.00,658000000.00,635000000.00,616000000.00,632000000.00,,
Antigua and Barbuda,ATG,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,2570961300.00,1907488200.00,1833110700.00,1731692800.00,1895353900.00,1946127700.00,2005000000.00,1810118500.00,1854094500.00,,,,
Australia,AUS,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,267352000000.00,287226000000.00,271168000000.00,289987000000.00,325825000000.00,326500000000.00,343157000000.00,349444000000.00,357495000000.00,362898000000.00,395645000000.00,419732000000.00,
Austria,AUT,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,143429000000.00,120560000000.00,141313000000.00,158644000000.00,163082000000.00,163980000000.00,166963000000.00,169856000000.00,173711000000.00,187871000000.00,200703000000.00,207327000000.00,
Azerbaijan,AZE,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,9418900000.00,8226900000.00,8782300000.00,12541900000.00,13843800000.00,15278600000.00,15467400000.00,18927900000.00,26375400000.00,29439500000.00,30098800000.00,30111100000.00,
Burundi,BDI,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,701388000000.00,639921000000.00,745312000000.00,964281000000.00,1144380000000.00,1429690000000.00,1429360000000.00,1308220000000.00,1228760000000.00,1478310000000.00,1614000000000.00,1819440000000.00,
Belgium,BEL,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,282126000000.00,230654000000.00,269260000000.00,303768000000.00,310259000000.00,308515000000.00,318301000000.00,318307000000.00,336479000000.00,361188000000.00,380450000000.00,385868000000.00,
Benin,BEN,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,1119040000000.00,1134680000000.00,1337980000000.00,1328710000000.00,1526740000000.00,1955520000000.00,2219510000000.00,2156920000000.00,2198250000000.00,2527590000000.00,2734750000000.00,2871250000000.00,
Burkina Faso,BFA,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,1063780000000.00,1178130000000.00,1428490000000.00,1781950000000.00,2221530000000.00,2454120000000.00,2195560000000.00,2307160000000.00,2431910000000.00,2688070000000.00,2869950000000.00,2993890000000.00,
Bangladesh,BGD,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,1569320000000.00,1632430000000.00,1736940000000.00,2518420000000.00,2949230000000.00,3208140000000.00,3429650000000.00,3751510000000.00,3691790000000.00,4004560000000.00,5276010000000.00,5450080000000.00,
Bulgaria,BGR,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,52603647000.00,36937463000.00,39650028000.00,47399782000.00,52499128000.00,53478383000.00,55182863000.00,56310513000.00,56216752000.00,64421274000.00,69407680000.00,71378295000.00,
