Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,3327000000.00,2853000000.00,2612000000.00,3095000000.00,2960000000.00,3700000000.00,3839000000.00,3842000000.00,3785000000.00,4012000000.00,,,
Afghanistan,AFG,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,103788000000.00,117523000000.00,146043000000.00,120354000000.00,76611041104.00,114022000000.00,87054993175.00,77104510753.00,78537680780.00,116426000000.00,114976000000.00,
Angola,AGO,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,4814770000000.00,3277100000000.00,4739840000000.00,6370920000000.00,6838650000000.00,6696080000000.00,6402050000000.00,4150850000000.00,4654480000000.00,5876900000000.00,10465400000000.00,,
Albania,ALB,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,273437000000.00,288738000000.00,346846000000.00,380322000000.00,385682000000.00,390386000000.00,393657000000.00,391098000000.00,426693000000.00,489536000000.00,515862000000.00,528856000000.00,
Andorra,AND,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
United Arab Emirates,ARE,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,913748000000.00,741694000000.00,875260000000.00,1160030000000.00,1379080000000.00,1440520000000.00,1474020000000.00,1326700000000.00,1324400000000.00,1410400000000.00,1442790000000.00,1429970000000.00,
Argentina,ARG,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,253622000000.00,244107000000.00,314627000000.00,402013000000.00,428341000000.00,489428000000.00,659639000000.00,637469000000.00,1030750000000.00,1196760000000.00,2085780000000.00,3743390000000.00,
Armenia,ARM,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,509034000000.00,460909000000.00,683335000000.00,850914000000.00,1176120000000.00,1291940000000.00,1379300000000.00,1499370000000.00,1679710000000.00,2077200000000.00,2270300000000.00,2530540000000.00,
American Samoa,ASM,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,641000000.00,530000000.00,364000000.00,335000000.00,482000000.00,457000000.00,426000000.00,427000000.00,427000000.00,362000000.00,438000000.00,,
Antigua and Barbuda,ATG,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,1688495400.00,1516383500.00,1414351500.00,1451940500.00,1467000000.00,1473000000.00,1595000000.00,1625922600.00,1644000000.00,,,,
Australia,AUS,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,237366000000.00,289894000000.00,257770000000.00,303673000000.00,322096000000.00,306588000000.00,336322000000.00,324674000000.00,319705000000.00,373769000000.00,403360000000.00,469891000000.00,
Austria,AUT,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,156425000000.00,130217000000.00,151683000000.00,167310000000.00,171989000000.00,173102000000.00,177855000000.00,182769000000.00,187408000000.00,200099000000.00,215057000000.00,222152000000.00,
Azerbaijan,AZE,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,26400700000.00,18383100000.00,23060500000.00,29388300000.00,29000300000.00,28169300000.00,25537500000.00,20552800000.00,28054000000.00,34147500000.00,43323600000.00,40170400000.00,
Burundi,BDI,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,200670000000.00,144640000000.00,242602000000.00,248119000000.00,326484000000.00,346938000000.00,318203000000.00,279757000000.00,325784000000.00,408347000000.00,509018000000.00,507656000000.00,
Belgium,BEL,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,284492000000.00,238491000000.00,275442000000.00,303396000000.00,310502000000.00,311650000000.00,321601000000.00,324216000000.00,341615000000.00,367409000000.00,379700000000.00,386648000000.00,
Benin,BEN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,966516000000.00,912703000000.00,1088550000000.00,1050660000000.00,1359320000000.00,1704570000000.00,2061650000000.00,1664380000000.00,1933920000000.00,2006490000000.00,2160670000000.00,2498520000000.00,
Burkina Faso,BFA,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,427829000000.00,612865000000.00,1026240000000.00,1491260000000.00,1705760000000.00,1797950000000.00,1854120000000.00,1826310000000.00,1970940000000.00,2165580000000.00,2505810000000.00,2558300000000.00,
Bangladesh,BGD,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,1110180000000.00,1194400000000.00,1277990000000.00,1824520000000.00,2127460000000.00,2342440000000.00,2551590000000.00,2627900000000.00,2885170000000.00,2970860000000.00,3330930000000.00,3895910000000.00,
Bulgaria,BGR,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,38228426000.00,30896373000.00,37519434000.00,47703566000.00,49879894000.00,53113162000.00,54361840000.00,57164722000.00,60926365000.00,68856887000.00,72245316000.00,75442408000.00,
Bahrain,BHR,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,7983000000.00,5905000000.00,6723000000.00,10757100000.00,11809800000.00,12822700000.00,12058000000.00,9702800000.00,8993400000.00,10107600000.00,11264600000.00,,
"Bahamas, The",BHS,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,4157100000.00,3412900000.00,3528800000.00,3769900000.00,4087400000.00,4245700000.00,4149100000.00,4125100000.00,4211200000.00,4192100000.00,4482800000.00,,
Bosnia and Herzegovina,BIH,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,6851448000.00,6201956000.00,7532260000.00,8403439000.00,8483188000.00,9035967000.00,9296528000.00,9969309000.00,10659828000.00,12811102000.00,14087202000.00,14063687000.00,
Belarus,BLR,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,7909160000.00,6944920000.00,8757320000.00,24108090000.00,43139550000.00,39123660000.00,44271060000.00,52157370000.00,59352000000.00,70628800000.00,86180400000.00,87657300000.00,
Belize,BLZ,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,1707257300.00,1380381800.00,1626587400.00,1829477800.00,1963103300.00,2064608200.00,2072426400.00,2027722000.00,1867493300.00,2019388900.00,2159452600.00,2169158700.00,
Bermuda,BMU,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,2699314000.00,2704649000.00,2644231000.00,2589439000.00,2656891000.00,,,,,,,
Bolivia,BOL,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,54199413000.00,43483989000.00,56787439000.00,73294325000.00,88273367000.00,93412577000.00,98709824000.00,70389398000.00,57432499000.00,64547736000.00,72349595000.00,70554158000.00,
Brazil,BRA,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,420881000000.00,361680000000.00,422220000000.00,506895000000.00,571876000000.00,626051000000.00,636375000000.00,773468000000.00,781577000000.00,824434000000.00,1025780000000.00,1039370000000.00,
Barbados,BRB,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,4654119500.00,3892182400.00,4209202500.00,4142350200.00,3928351600.00,3926864700.00,3787407800.00,3908091700.00,4166584500.00,4200595100.00,4200187400.00,4376406000.00,
Brunei Darussalam,BRN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,15971400000.00,11362400000.00,12598456000.00,16197000000.00,16700000000.00,15404000000.00,14769610000.00,9282000000.00,7807371200.00,8302377800.00,9504125900.00,10647577271.00,
Bhutan,BTN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,26709740000.00,27367000000.00,30777000000.00,35004000000.00,37739000000.00,42636000000.00,43589875500.00,44261735300.00,42966168200.00,48004252100.00,51570338900.00,,
