Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2745251397.00,2498882682.00,2390502793.00,2549720670.00,2534636872.00,2701675978.00,2765363128.00,2919553073.00,2965921788.00,3056424581.00,,,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,10109225814.00,12439087077.00,15856574731.00,17804292964.00,20001598506.00,20561069558.00,20484885120.00,19907111419.00,19362642267.00,20191760000.00,19484384937.00,19101353833.00,
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,88538611205.00,70307163678.00,83799496611.00,111790000000.00,128053000000.00,136710000000.00,145712000000.00,116194000000.00,101124000000.00,122124000000.00,101353000000.00,94635415870.00,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,12881354104.00,12044223353.00,11926928506.00,12890765324.00,12319830252.00,12776217195.00,13228144008.00,11386846319.00,11861200797.00,13019693451.00,15147020535.00,15278077447.00,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,4085630584.00,3674409558.00,3449966857.00,3629203786.00,3188808943.00,3193704343.00,3271808157.00,2789870188.00,2896679212.00,3000180750.00,3218316013.00,3154057987.00,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,2079910000000.00,1794340000000.00,2106020000000.00,2494060000000.00,2772880000000.00,2855310000000.00,2892810000000.00,2529690000000.00,2463430000000.00,2513490000000.00,2772020000000.00,2815410000000.00,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,315475000000.00,253547000000.00,289787000000.00,350666000000.00,374591000000.00,390108000000.00,403137000000.00,358135000000.00,357045000000.00,385606000000.00,422215000000.00,421142000000.00,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,361558000000.00,332976000000.00,423627000000.00,530163000000.00,545982000000.00,552025000000.00,526320000000.00,594749000000.00,557531000000.00,642696000000.00,519872000000.00,449663000000.00,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,11662040714.00,8647936748.00,9260284938.00,10142111334.00,10619320049.00,11121465767.00,11609512940.00,10553337673.00,10546135160.00,11527458566.00,12457941907.00,13672802158.00,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,563000000.00,678000000.00,576000000.00,574000000.00,644000000.00,641000000.00,642000000.00,661000000.00,652000000.00,602000000.00,636000000.00,,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1368431037.00,1224253000.00,1148700000.00,1137637037.00,1199948148.00,1181448148.00,1249733333.00,1336692593.00,1436585185.00,1467977778.00,1610574074.00,1727759259.00,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1054000000000.00,927805000000.00,1146140000000.00,1396650000000.00,1546150000000.00,1576180000000.00,1467480000000.00,1351690000000.00,1208850000000.00,1330140000000.00,1433900000000.00,1392680000000.00,
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,430294000000.00,400172000000.00,391893000000.00,431120000000.00,409425000000.00,430069000000.00,441996000000.00,381818000000.00,395228000000.00,418316000000.00,455508000000.00,446315000000.00,
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,48852482960.00,44291490421.00,52902703376.00,65951627200.00,69683935845.00,74164435946.00,75244294275.00,53074370486.00,37867518957.00,40865558912.00,47112941176.00,48047647059.00,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1611835902.00,1781455092.00,2032135247.00,2235820868.00,2333308099.00,2451625333.00,2705783272.00,3104394858.00,2959640987.00,3172292379.00,3036931818.00,3012334882.00,
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,515224000000.00,481346000000.00,480952000000.00,522646000000.00,496181000000.00,521643000000.00,534678000000.00,462150000000.00,475901000000.00,503789000000.00,542686000000.00,529607000000.00,
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,9748276762.00,9699586794.00,9535344283.00,10693321954.00,11141358945.00,12517845732.00,13284528654.00,11388160958.00,11821066153.00,12701656931.00,14250985959.00,14390709095.00,
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,9413335567.00,9412813382.00,10109618964.00,12080296644.00,12561016091.00,13444301139.00,13943016924.00,11832159276.00,12822558022.00,14169905602.00,16199434625.00,15745810235.00,
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,91631278239.00,102478000000.00,115279000000.00,128638000000.00,133356000000.00,149990000000.00,172885000000.00,195079000000.00,221415000000.00,249711000000.00,274039000000.00,302571000000.00,
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,54438966420.00,51999181062.00,50363282117.00,57363610380.00,54013812089.00,55591336862.00,56883172568.00,50630703922.00,53785050339.00,58950125036.00,66200847918.00,67927179737.00,
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,25710904255.00,22938218085.00,25713271277.00,28776595745.00,30749308511.00,32539468085.00,33387712766.00,31125851064.00,32250132979.00,35423643617.00,37652500000.00,38574069149.00,
