Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,495007262.60,404204469.30,,,,,,,,,,,
Afghanistan,AFG,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,2720961614.00,2723802099.00,3353890830.00,4048741173.00,4231899640.00,4203629519.00,4348872122.00,4404257789.00,4225552558.00,4467965941.00,4341103740.00,4219308232.00,
Angola,AGO,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,53348780923.00,30974788504.00,43884484820.00,62631865168.00,72885404631.00,72952284482.00,67323882302.00,48723590535.00,43122816969.00,51497116673.00,48580166009.00,,
Albania,ALB,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,3241080117.00,2940434690.00,2974273861.00,3156227514.00,2823522012.00,2946366491.00,2845222696.00,2478194800.00,2507688342.00,2650602351.00,3223894704.00,3064373587.00,
Andorra,AND,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,
Arab World,ARB,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,1126170000000.00,834433000000.00,1025760000000.00,1367660000000.00,1494070000000.00,1490360000000.00,1464190000000.00,1039190000000.00,969569000000.00,1053040000000.00,1250260000000.00,1236830000000.00,
United Arab Emirates,ARE,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,183032000000.00,131959000000.00,152228000000.00,203511000000.00,215199000000.00,214583000000.00,212714000000.00,157199000000.00,147991000000.00,164170000000.00,198580000000.00,194401000000.00,
Argentina,ARG,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,94990190458.00,84190456294.00,107003000000.00,133668000000.00,133378000000.00,132519000000.00,127777000000.00,137703000000.00,122959000000.00,140552000000.00,119400000000.00,104016000000.00,
Armenia,ARM,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,2955048237.00,2970437646.00,2933785792.00,2713125863.00,2697399020.00,2975183151.00,3084157595.00,3320768179.00,
American Samoa,ASM,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,262147777.80,238582555.60,186137037.00,165307407.40,171418518.50,185277777.80,202314814.80,219992592.60,257700000.00,282155555.60,340618518.50,370370370.40,
Australia,AUS,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,269755000000.00,250498000000.00,288270000000.00,369220000000.00,406393000000.00,396063000000.00,374426000000.00,319597000000.00,269390000000.00,311609000000.00,345864000000.00,350923000000.00,
Austria,AUT,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,116008000000.00,103216000000.00,100070000000.00,109709000000.00,104952000000.00,109775000000.00,112111000000.00,96122240988.00,100457000000.00,106552000000.00,117291000000.00,114764000000.00,
