Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,
Afghanistan,AFG,Interest payments (current LCU),GC.XPN.INTP.CN,103089253.00,108627501.00,86638122.74,91977758.00,118236274.20,268060864.00,351774772.00,676278879.00,580470975.00,676617776.00,,,
Angola,AGO,Interest payments (current LCU),GC.XPN.INTP.CN,135479000000.00,104791000000.00,115831000000.00,81456387937.00,102804000000.00,99104966331.00,147161000000.00,248469000000.00,356490000000.00,548315000000.00,,,
Albania,ALB,Interest payments (current LCU),GC.XPN.INTP.CN,,,,40907370000.00,41277240000.00,43133460000.00,39742070000.00,38526250000.00,36197910000.00,31768690000.00,36513390000.00,,
Andorra,AND,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,
Arab World,ARB,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,
United Arab Emirates,ARE,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,
Argentina,ARG,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,87281800000.00,109811000000.00,245357000000.00,243839000000.00,430528000000.00,,
Armenia,ARM,Interest payments (current LCU),GC.XPN.INTP.CN,11053766570.00,16281591800.00,30436021340.00,35532215290.00,40666765520.00,46745897050.00,61644111250.00,74084107100.00,98276372290.00,122110000000.00,139015000000.00,,
American Samoa,ASM,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,
Australia,AUS,Interest payments (current LCU),GC.XPN.INTP.CN,4199000000.00,4784000000.00,7004000000.00,9997000000.00,12989000000.00,13050000000.00,13694000000.00,15349000000.00,16165000000.00,16688000000.00,17768000000.00,17966000000.00,
Austria,AUT,Interest payments (current LCU),GC.XPN.INTP.CN,8040800000.00,8682550000.00,8322050000.00,8387860000.00,8495440000.00,8224500000.00,7918740000.00,7850150000.00,7287050000.00,6683710000.00,6125020000.00,,
Azerbaijan,AZE,Interest payments (current LCU),GC.XPN.INTP.CN,32700000.00,78700000.00,39500000.00,169600000.00,90200000.00,154500000.00,84200000.00,211400000.00,614100000.00,495200000.00,769400000.00,,
Burundi,BDI,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,
Belgium,BEL,Interest payments (current LCU),GC.XPN.INTP.CN,12485000000.00,11794100000.00,11525100000.00,11946800000.00,12309800000.00,11728200000.00,11747700000.00,10876800000.00,10347200000.00,9324800000.00,8648400000.00,,
Benin,BEN,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,
Burkina Faso,BFA,Interest payments (current LCU),GC.XPN.INTP.CN,12693275000.00,16870967228.00,21354239663.00,28291579336.00,41805614512.00,34755278004.00,44011188207.00,43752144897.00,65300000000.00,69515113978.00,97240452243.00,,
Bangladesh,BGD,Interest payments (current LCU),GC.XPN.INTP.CN,135769000000.00,151532000000.00,148159000000.00,155878000000.00,202938000000.00,241641000000.00,280034000000.00,309743000000.00,330580000000.00,,,,
Bulgaria,BGR,Interest payments (current LCU),GC.XPN.INTP.CN,597742000.00,514797000.00,501020000.00,549969000.00,631427000.00,577635000.00,695006000.00,795716000.00,810409000.00,776216000.00,674573000.00,,
Bahrain,BHR,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,
"Bahamas, The",BHS,Interest payments (current LCU),GC.XPN.INTP.CN,143124000.00,154223000.00,178463000.00,210761000.00,186101000.00,198024000.00,211791000.00,233363000.00,274996000.00,266684000.00,313869000.00,,
Bosnia and Herzegovina,BIH,Interest payments (current LCU),GC.XPN.INTP.CN,114508956.90,112561480.40,108153529.90,143771982.70,181053249.20,179476393.50,214366923.00,239610820.90,231345764.30,209090214.90,224774181.90,220450104.60,
Belarus,BLR,Interest payments (current LCU),GC.XPN.INTP.CN,69320000.00,100266000.00,90708552.83,256220000.00,600890000.00,543931000.00,725194900.00,1348508104.00,1728984567.00,1876350351.00,2145651810.00,,
Belize,BLZ,Interest payments (current LCU),GC.XPN.INTP.CN,102344000.00,95790000.00,103376000.00,102342000.00,57082989.36,83722485.80,90483516.88,84995823.27,86669301.58,104665512.00,,,
